description,canonicalTag
"Pure ounces extra-firm tofu, drained, patted dry, and cut into small cubes","tofu"
"PINEAPPLE COCONUT MILK, PINEAPPLE","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure (.25 ounce) package yeast","yeast"
"SESAME GINGER FLAVORED EXTRA FIRM TOFU BITES, SESAME GINGER","tofu"
"Pure cup well-shaken canned unsweetened coconut milk","coconut milk"
"Pure oz tofu, cut into 1-inch cubes","tofu"
"SEA SALT","salt"
"Pure pound extra-firm tofu, sliced 3/4 inch thick","tofu"
"SUPERFINE BLANCHED ALMOND FLOUR","almond flour"
"Pure (14 ounce) package extra-firm tofu, cut into 1/2-inch cubes","tofu"
"Pure 1/2 cups vanilla-flavored cultured coconut milk","coconut milk"
"Pure (8 ounce) package tempeh, cut into 1/2 inch squares","tempeh"
"WHOLE WHEAT FLOUR","flour"
"Pure 1/4 pound medium or firm tofu, cut into 1 1/4-inch cubes","tofu"
"Pure 12-ounce package extra-firm tofu, drained, cut into 3/4-inch cubes, patted dry with paper towels","tofu"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"WHOLE MILK","milk"
"Pure cup so delicious® dairy free culinary coconut milk","coconut milk"
"Pure cup so delicious® dairy free unsweetened coconut milk","coconut milk"
"Pure (12 ounce) package firm tofu, cut into 1/2 inch strips","tofu"
"Pure 1/2 cups unsweetened light coconut milk","coconut milk"
"Pure (12 ounce) package extra-firm tofu, cut into cubes","tofu"
"ALMOND MILK, MCT OIL, MACA, PREBIOTICS VANILLA ESSENTIALS DRINK, VANILLA","almond milk"
"Pure cup sweet rice flour (mochiko)","rice flour"
"INDIAN SPICED ORGANIC TOFU, INDIAN SPICED","tofu"
"Pure (16 ounce) package extra firm tofu, drained","tofu"
"SWEETENED VANILLA ALMOND MILK, SWEETENED VANILLA","almond milk"
"FLAX & SEEDS ALMOND FLOUR KETO TORTILLAS, ALMOND; FLAX & SEED","almond flour"
"CHERMOULA MOROCCAN TOFU CUBES, CHERMOULA MOROCCAN","tofu"
"AVOCADO OIL","oil"
"Pure (8 ounce) package tempeh, sliced into thin strips","tempeh"
"Pure 13.5-ounce or 15-ounce can unsweetened coconut milk","coconut milk"
"Pure cup silken tofu, cut into 1/2-inch pieces","tofu"
"Pure 1/3 cups canned unsweetened coconut milk","coconut milk"
"Pure (14-ounce) package extra-firm tofu, drained","tofu"
"Pure (16 ounce) package extra-firm tofu, drained and cubed","tofu"
"Pure (12 ounce) package firm tofu, cut into four 1/4-inch thick slices","tofu"
"Pure (10 ounce) package silken tofu, drained","tofu"
"Pure (16 ounce) package extra-firm tofu, drained and diced","tofu"
"Pure pounds firm tofu, drained of excess water","tofu"
"Pure cup well-stirred coconut milk, preferably aroy-d brand","coconut milk"
"Pure ounces savory baked five-spice tofu cakes (about 2 squares), cut into matchstick-size strips","tofu"
"Pure (12 ounce) package firm tofu, drained and cut into bite-size pieces","tofu"
"Pure cup silken tofu","tofu"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"Pure cup (lightly packed) sifted almond flour, or 3/4 cup sifted almond flour and 1/4 cup sifted hazelnut flour (sifted, then measured; any coarse particles reserved for another use)","almond flour"
"Pure (12 ounce) package extra-firm tofu, diced","tofu"
"VANILLA BEAN ALMOND MILK PUDDING, VANILLA BEAN","almond milk"
"Pure cups extra-firm tofu, drained and cubed","tofu"
"Pure to 6 ounces semi-firm tofu, cut into 1/2-inch cubes (optional)","tofu"
"VEGETABLE SPRING ROLLS WITH CABBAGE, ONION, CARROT, EDAMAME, TOFU, KALE & SHIITAKE MUSHROOM, VEGETABLE","tofu"
"Pure tofu filling:","tofu"
"TEMPEH BUFFALO PRECUT STRIPS","tempeh"
"Pure (8 ounce) container smoked tofu, diced","tofu"
"Pure cup extra firm tofu, drained, crumbled","tofu"
"WHOLE MILK","milk"
"SKIM MILK","milk"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"Pure (16 ounce) package medium-firm tofu, cubed","tofu"
"CONFECTIONERS SUGAR","sugar"
"WHOLE MILK","milk"
"Pure cup unsweetened vanilla-flavored almond milk (such as almond breeze®)","almond milk"
"Pure cup white rice flour*","rice flour"
"DARK CHOCOLATE ALMOND MILK PUDDING, DARK CHOCOLATE","almond milk"
"Pure grams sweet rice flour","rice flour"
"Pure 1/2 cups vanilla soy or almond milk","almond milk"
"Pure cup superfine brown rice flour","rice flour"
"Pure oz silken tofu","tofu"
"Pure cups white rice flour, plus more for dusting","rice flour"
"PEANUT BUTTER WITH A CHOCOLATEY COCONUT MILKE CENTER DAIRY-FREE FROZEN SNACK BITES, PEANUT BUTTER","coconut milk"
"Pure cup canned light unsweetened coconut milk*","coconut milk"
"CONFECTIONERS POWDERED SUGAR","sugar"
"Pure 13- to 14-ounce cans unsweetened coconut milk, divided","coconut milk"
"Pure 13.5- to 14-ounce cans unsweetened coconut milk,* divided","coconut milk"
"Pure ounces firm tofu, well drained, cut into 1/2-inch cubes","tofu"
"CANOLA OIL","oil"
"WHOLE MILK","milk"
"POWDERED CONFECTIONERS SUGAR","sugar"
"Pure water","water"
"IODIZED SALT","salt"
"Pure (12 ounce) package firm tofu, drained and cut into 1/2-inch cubes","tofu"
"salt","salt"
"yeast","yeast"
"large eggs","eggs"
"Pure cup well-stirred canned reduced-fat coconut milk","coconut milk"
"Pure ounces (340 g) extra-firm tofu, drained and pressed","tofu"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"CONFECTIONERS SUGAR","sugar"
"CANOLA OIL","oil"
"WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"WHOLE MILK","milk"
"Pure (13.5 ounce) cans canned coconut milk","coconut milk"
"Pure rice flour for dusting","rice flour"
"SEA SALT","salt"
"VEGETABLE OIL","oil"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"VEGETABLE OIL","oil"
"Pure (16 ounce) package extra-firm tofu, sliced 1/2 inch thick","tofu"
"WHOLE MILK","milk"
"1% MILK","milk"
"ORGANIC WHOLE MILK","milk"
"Pure cup canned lowfat coconut milk","coconut milk"
"BLANCHED ALMOND FLOUR","almond flour"
"Pure (14 ounce) package firm tofu, cut into cubes","tofu"
"Pure (12 ounce) package silken tofu, undrained","tofu"
"Pure can (14.5 ounces) low-fat coconut milk","coconut milk"
"Pure cup canned coconut milk (optional)","coconut milk"
"Pure pound silken tofu","tofu"
"Pure cup so delicious® dairy free chocolate peanut butter swirl coconut milk frozen dessert","coconut milk"
"Pure ounces vanilla-flavored almond milk","almond milk"
"Pure (14 ounce) packages extra-firm tofu, cut into cubes","tofu"
"VEGETABLE OIL","oil"
"RAW PUMPKIN SEEDS","pumpkin seeds"
"Pure cup pureed extra-firm tofu","tofu"
"SUPERFINE BLANCHED ALMOND FLOUR","almond flour"
"GARBANZO BEANS","chickpeas"
"ORGANIC WHOLE MILK","milk"
"PAD THAI NOODLES, BROCCOLI AND TOFU SMOTHERED WITH A TAMARIND PEANUT SAUCE, PAD THAI","tofu"
"COCONUT FLOUR, COCONUT","coconut flour"
"WHOLE MILK","milk"
"Pure cup coconut milk, or more to taste","coconut milk"
"Pure cups king arthur almond flour","almond flour"
"Pure tablespoons rice flour, or as needed","rice flour"
"Pure cups almond flour or meal","almond flour"
"Pure cups all-purpose rice flour","rice flour"
"Pure cup unsweetened non-dairy milk, preferably coconut milk beverage or almond milk","almond milk"
"GARBANZO BEANS","chickpeas"
"Pure (4-ounce) pieces soy tempeh","tempeh"
"Pure (15 ounce) can light coconut milk","coconut milk"
"UNSWEETENED DRIED BANANA SLICES, UNSWEETENED","banana"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"GRANULATED SUGAR","sugar"
"GRANULATED SUGAR","sugar"
"UNSWEETENED DRIED BANANA SLICES, UNSWEETENED","banana"
"CONFECTIONERS SUGAR","sugar"
"Pure to 10 ounces firm tofu (preferably silken), cut into 1/2-inch cubes","tofu"
"TAORO COCONUT MILK, 14 FL OZ","coconut milk"
"PUMPKIN SEEDS","pumpkin seeds"
"CHILI RELLENO CASSEROLE ROASTED POBLANOS WITH BLACK BEANS AND TOFU, WITH MONTEREY JACK AND CHEDDAR CHEESE, CHILI RELLENO CASSEROLE","tofu"
"CANOLA OIL","oil"
"MILK","milk"
"Pure cup glutinous rice flour","rice flour"
"Pure cup asian rice flour (not from sweet or glutinous rice)","rice flour"
"VEGETABLE OIL","oil"
"VEGETABLE OIL","oil"
"AVOCADO OIL","oil"
"Pure (8 ounce) package tempeh, cut into 1/2-inch cubes","tempeh"
"ALMOND FLOUR TORTILLAS, ALMOND FLOUR","almond flour"
"EXTRA LARGE EGGS","eggs"
"ORGANIC WHOLE MILK","milk"
"WHOLE MILK","milk"
"FINE SEA SALT","salt"
"EGG","eggs"
"WHOLE PEELED EGGS","eggs"
"ORGANIC WHOLE MILK","milk"
"Bob's Red Mill White Rice Flour","rice flour"
"WHOLE MILK","milk"
"King Arthur Rice Flour","rice flour"
"ORGANIC WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"2% MILK","milk"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"MILK","milk"
"ORGANIC MILK","milk"
"MILK","milk"
"ORGANIC WHOLE MILK","milk"
"SKIM MILK","milk"
"ORGANIC WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"WHOLE MILK","milk"
"oil","oil"
"ORGANIC COCONUT FLOUR","coconut flour"
"LITE COCONUT MILK, LITE","coconut milk"
"ORIGINAL COCONUT MILK NON-DAIRY BEVERAGE, ORIGINAL","coconut milk"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"COCONUT MILK POWDER","coconut milk"
"ORGANIC COCONUT MILK","coconut milk"
"LIGHT ORGANIC COCONUT MILK, LIGHT","coconut milk"
"ORIGINAL COCONUT MILK DRINK, ORIGINA COCONUT","coconut milk"
"VANILLA BEAN COCONUT MILK DIPPED NON-DAIRY FROZEN DESSERT BARS, VANILLA BEAN","coconut milk"
"THAI RED CURRY CHICKEN RED CURRY WITH CHICKEN, BELL PEPPERS AND ONIONS SIMMERED IN COCONUT MILK, GARLIC AND GINGER WITH THAI FRIED RICE COMBO, THAI RED CURRY CHICKEN","coconut milk"
"LECHE DE COCO COCONUT MILK","coconut milk"
"VITARROZ COCONUT MILK, 13.5 FL OZ","coconut milk"
"SOY FREE CHICKPEA TOFU","tofu"
"ORGANIC GLUTEN FREE BROWN RICE FLOUR","rice flour"
"AVOCADO OIL","oil"
"RED LENTILS, RED","lentils"
"Pure 8-ounce package teriyaki-seasoned baked tofu, cut into 1/4x1-inch pieces","tofu"
"Pure ounces (about 1/2 cup) silken tofu","tofu"
"ORGANIC COCONUT MILK","coconut milk"
"sugar","sugar"
"eggs","eggs"
"brown sugar","sugar"
"powdered sugar","sugar"
"granulated sugar","sugar"
"whole wheat flour","flour"
"kosher salt","salt"
"sea salt","salt"
"unsalted butter","butter"
"egg","eggs"
"avocado oil","oil"
"coconut oil","oil"
"sunflower oil","oil"
"sesame oil","oil"
"Pure cup vanilla-flavored almond milk","almond milk"
"Pure pound firm tofu, sliced and well drained","tofu"
"SALTED BUTTER","butter"
"TOFU PREMIUM","tofu"
"WHOLE  MILK","milk"
"Pure (7.5 ounce) package hickory flavor baked tofu","tofu"
"Pure cooking spray (such as pam®)","cooking spray"
"ORGANIC WHOLE MILK","milk"
"Pure (12 ounce) package extra-firm tofu, drained and cubed","tofu"
"Pure ounces firm tofu, sliced 1/2 inch thick","tofu"
"WHOLE MILK","milk"
"Pure cup unsweetened soy, hemp, or almond milk","almond milk"
"ORGANIC WHOLE MILK","milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"SHELLED SUNFLOWER SEEDS","sunflower seeds"
"Pure tablespoon unbleached all-purpose flour, whole-wheat flour, or rice flour","rice flour"
"Pure cup unbleached all-purpose flour, whole-wheat flour, or rice flour","rice flour"
"Pure cup canned unsweetened or fresh coconut milk","coconut milk"
"BLANCHED ALMOND FLOUR","almond flour"
"WHOLE WHEAT FLOUR","flour"
"Pure cup canned unsweetened coconut milk*","coconut milk"
"Pure 14-ounce cans unsweetened coconut milk*","coconut milk"
"Pure ounces firm tofu, cut into 1/2 inch strips","tofu"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"POWDERED CONFECTIONERS SUGAR","sugar"
"Pure cup well-stirred canned unsweetened coconut milk (8 fl oz)","coconut milk"
"Pure cup reduced-fat coconut milk","coconut milk"
"Pure 14- to 16-ounce container firm tofu, drained, cut into 1/2-inch cubes","tofu"
"PREMIUM ALMOND FLOUR","almond flour"
"Pure cup unsweetened coconut milk or whipping cream","coconut milk"
"CANOLA OIL","oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"CANOLA OIL","oil"
"WHOLE MILK","milk"
"Pure cup sweet rice flour","rice flour"
"ORGANIC COCONUT FLOUR","coconut flour"
"Pure pound extra-firm tofu, cut into 1-inch cubes","tofu"
"ORGANIC EXTRA FIRM TOFU","tofu"
"VEGETABLE OIL","oil"
"Pure info: almond flour is available at some supermarkets and at natural foods stores and specialty markets.","almond flour"
"CACAO SUPERFOOD PROTEIN BLEND SPROUTED ALMOND MILK","almond milk"
"WHOLE MILK","milk"
"Pure cup almond flour*","almond flour"
"Pure cup coconut milk, or as needed","coconut milk"
"Pure 12.3-ounce package extra-firm silken tofu","tofu"
"Pure ounces firm tofu, drained, cut into 3/4-inch squares","tofu"
"WHOLE MILK","milk"
"Pure 1/2 cups almond milk, or more to taste, divided","almond milk"
"PINK SUGAR, PINK","sugar"
"WHOLE MILK","milk"
"Pure (14 ounce) can coconut milk, divided","coconut milk"
"Pure teaspoon yeast","yeast"
"WHOLE MILK","milk"
"Pure (12 ounce) package tofu, cut into chunks","tofu"
"Pure fluid ounces unsweetened almond milk","almond milk"
"COCONUT MILK","coconut milk"
"SKIM MILK","milk"
"SUNFLOWER OIL","oil"
"Pure (7.5 ounce) package smoked firm tofu, frozen and thawed","tofu"
"VEGETABLE OIL","oil"
"Pure 3/4 cups so delicious® dairy free vanilla coconut milk","coconut milk"
"Pure (12 ounce) package extra-firm tofu, cut into 1x2x2-inch pieces","tofu"
"GARBANZO BEANS","chickpeas"
"POWDERED CONFECTIONERS SUGAR","sugar"
"MARINARA SAUCE","pizza sauce"
"LIGHT UNSWEETENED COCONUT MILK, LIGHT UNSWEETENED","coconut milk"
"Pure cup coconut milk, or to taste","coconut milk"
"COCONUT FLOUR","coconut flour"
"WHOLE MILK","milk"
"BANANA","banana"
"WHOLE MILK","milk"
"Pure (14 ounce) cans coconut milk","coconut milk"
"ORGANIC WHOLE MILK","milk"
"Pure (16 ounce) package glutinous sweet rice flour","rice flour"
"Pure (16 ounce) package extra firm tofu","tofu"
"Pure (16 ounce) package extra-firm tofu, cut into 1/4-inch cubes","tofu"
"Pure (12 ounce) package extra firm tofu","tofu"
"SALTED ALMOND MILK CHOCOLATE STYLE BARS, SALTED ALMOND","almond milk"
"PEPPADEW PEPPER SOY FREE CHICKPEA TOFU, PEPPER","tofu"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure 14-ounce can light unsweetened coconut milk","coconut milk"
"Pure cups unsweetened vanilla-flavored almond milk","almond milk"
"SELF-RISING FLOUR","flour"
"Pure 13.5- to 14.5-ounce can unsweetened coconut milk*","coconut milk"
"Pure (14 ounce) cans full-fat coconut milk, chilled","coconut milk"
"FIRM ORGANIC TOFU, FIRM","tofu"
"HULLED SUNFLOWER SEEDS","sunflower seeds"
"Pure cups canned unsweetened coconut milk","coconut milk"
"Pure (8 ounce) container extra firm tofu, drained and sliced into large chunks","tofu"
"Pure 4-ounces firm tofu, cut into 2 1/2-inch slices","tofu"
"Pure tofu hot dogs, sliced 1/8-inch thick","tofu"
"Pure cups sweet rice flour (mochiko)","rice flour"
"ORGANIC TOFU","tofu"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"Pure 1/2 cups light coconut milk","coconut milk"
"MILK","milk"
"MILK","milk"
"Pure 14-ounce can unsweetened coconut milk (1 2/3 cups)","coconut milk"
"Pure pound firm tofu, sliced into 1/4 inch slices","tofu"
"BLACK LENTILS, BLACK","lentils"
"Pure pound firm tofu, cut into strips","tofu"
"WHOLE MILK","milk"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"Pure 1/3 cups regular coconut milk","coconut milk"
"Pure 1/3 cups light coconut milk","coconut milk"
"Pure fluid ounces coconut milk","coconut milk"
"Pure (12 ounce) package korean soon tofu or soft tofu, drained and sliced","tofu"
"RAW PUMPKIN SEEDS","pumpkin seeds"
"INARI (TOFU) WITH SPICY TUNA, SPICY TUNA","tofu"
"ALMOND MILK & PLANT PROTEIN BEVERAGE, CHOCOLATE","almond milk"
"Pure cup (or more) canned unsweetened coconut milk*","coconut milk"
"Pure (16 ounce) package extra-firm tofu, cut into twelve 1/2-inch-thick slices","tofu"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"TOFUTTI BETTER THAN RICOTTA CHEESE, 16 OZ","tofu"
"Pure cups laxmi's fresh coconut milk or canned unsweetened coconut milk","coconut milk"
"VANILLA HALF ALMOND MILK & HALF COCONUT CREAM, VANILLA","almond milk"
"RAW PUMPKIN SEEDS","pumpkin seeds"
"KETO TORTILLAS WITH SEA SALT ALMOND FLOUR","almond flour"
"Pure cup so delicious® dairy free original coconut milk","coconut milk"
"ROSA MARIA COCONUT MILK, 13.5 OZ","coconut milk"
"Pure ounces extra firm tofu, diced","tofu"
"NON-STICK COOKING SPRAY","cooking spray"
"WHOLE WHEAT FLOUR","flour"
"Pure (14- to 16-oz) packages firm tofu, rinsed and drained","tofu"
"LENTILS","lentils"
"Pure cups glutinous rice flour","rice flour"
"Pure ounces so delicious® dairy free original culinary coconut milk","coconut milk"
"Pure tablespoons so delicious® dairy free unsweetened vanilla cultured coconut milk","coconut milk"
"ORGANIC WHOLE MILK","milk"
"EGGS","eggs"
"Pure (8 ounce) packages tempeh, cut into 2-inch strips","tempeh"
"Pure 1/2 cups sweet rice flour (mochiko)","rice flour"
"UNSALTED BUTTER","butter"
"VEGETABLE OIL","oil"
"WHOLE WHEAT FLOUR","flour"
"BLANCHED ALMOND FLOUR","almond flour"
"POWDERED SUGAR","sugar"
"Pure (14-ounce) package extra-firm tofu, drained and patted dry","tofu"
"Pure 1/2 tablespoons almond milk, divided","almond milk"
"Pure cooking spray (optional)","cooking spray"
"GENERAL TSO'S TOFU","tofu"
"ALMOND MILK","almond milk"
"APPLESAUCE","applesauce"
"RICE FLOUR","rice flour"
"TOFU","tofu"
"TEMPEH","tempeh"
"POPPY SEEDS","poppy seeds"
"COCONUT OIL","oil"
"SESAME GINGER TOFUBAKED, SESAME; GINGER","tofu"
"Pure (12 ounce) package extra-firm tofu, cut into bite-size cubes","tofu"
"Pure (12 ounce) packages firm tofu, drained and cubed","tofu"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"Pure cup light coconut milk","coconut milk"
"Pure (14-ounce) can light coconut milk","coconut milk"
"water","water"
"all-purpose flour","flour"
"Pure tablespoons sweet rice flour","rice flour"
"ALMOND MILK, VANILLA","almond milk"
"RAW HULLED PUMPKIN SEEDS","pumpkin seeds"
"Pure cup rice flour*","rice flour"
"ORGANIC LITE UNSWEETENED COCONUT MILK","coconut milk"
"ORGANIC UNSWEETENED COCONUT MILK","coconut milk"
"Pure (8 ounce) container extra firm tofu, drained and cubed","tofu"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"Pure (6 ounce) containers vanilla-flavored cultured coconut milk","coconut milk"
"Pure (5 ounce) package yuba (tofu skins), cut into 1-inch wide strips","tofu"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"Pure slices medium-firm tofu, cubed","tofu"
"ORGANIC WHOLE MILK","milk"
"Pure cup mochiko (glutinous rice flour)","rice flour"
"Pure (13- to 14-ounce) can well-stirred unsweetened coconut milk","coconut milk"
"Pure 10.5-ounce package extra-fine or firm tofu, cut into 1/4-inch dice","tofu"
"MARINARA SAUCE","pizza sauce"
"MARINARA SAUCE","pizza sauce"
"Pure (14 ounce) package extra firm tofu, cubed","tofu"
"Pure (13.5-oz [370-ml]) cans full-fat coconut milk","coconut milk"
"Pure of a (14- to 16-ounce) package firm tofu (halve lengthwise), rinsed and drained","tofu"
"ORGANIC WHOLE MILK","milk"
"Pure (16 ounce) package silken tofu, cubed","tofu"
"Pure (12 ounce) packages firm tofu, cubed","tofu"
"COCONUT MILK CHOCOLATE COVERED MACADAMIAS, COCONUT MILK CHOCOLATE","coconut milk"
"Pure tablespoons coconut milk powder","coconut milk"
"Pure 1/2 cupslaxmi's fresh coconut milk or canned unsweetened coconut milk","coconut milk"
"EXTRA FIRM TOFU, EXTRA FIRM","tofu"
"Pure (12 ounce) packages extra-soft tofu","tofu"
"Pure (16 ounce) package medium-firm tofu, cut into 1 1/2 x 1/4 inch dominoes","tofu"
"Pure 12-ounce container extra-firm tofu, cut crosswise into 8 slices, drained on paper towels","tofu"
"Pure (16 ounce) package firm tofu, cut into 3 slices","tofu"
"Pure cup unsweetened vanilla-flavored almond milk, or more to taste","almond milk"
"Pure 1/2 cups well-stirred canned unsweetened coconut milk (about 12 ounces)","coconut milk"
"Pure cup coconut milk beverage (such as silk®)","coconut milk"
"Pure ounces extra-firm tofu, drained and cut into very small cubes","tofu"
"Pure cup well-stirred sweetened cream of coconut (preferably coco lópez brand; not coconut milk or coconut cream)","coconut milk"
"Pure (14 ounce) package tofu, drained and cut into cubes","tofu"
"Pure (12 ounce) package tofu, cut into 1/2-inch squares","tofu"
"Pure cup vanilla-flavored cultured coconut milk","coconut milk"
"Pure cup almond flour or almond meal*","almond flour"
"TOFU SCRAMBLE BREAKFAST GLUTEN FREE WRAP, TOFU SCRAMBLE BREAKFAST","tofu"
"Pure tablespoons unsweetened coconut milk*","coconut milk"
"Pure can (13.6 ounces) light coconut milk","coconut milk"
"Pure (14 ounce) package extra-firm tofu, drained","tofu"
"CANOLA OIL","oil"
"ORGANIC WHOLE MILK","milk"
"Pure tablespoons canned coconut milk","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"ORGANIC ALMOND MILK WITH CASHEW, ORIGINAL","almond milk"
"Pure cup king arthur almond flour","almond flour"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure (14 ounce) package firm water-packed tofu, drained and cubed","tofu"
"VEGETABLE OIL","oil"
"EXTRA VIRGIN  OLIVE OIL","olive oil"
"PINEAPPLE COCONUT MILK DRINK, PINEAPPLE","coconut milk"
"Pure 1/2 cups mochiko (glutinous rice flour)","rice flour"
"GRANULATED SUGAR","sugar"
"Pure (12 ounce) package silken tofu","tofu"
"Pure fluid ounces canned coconut milk","coconut milk"
"FRESH MILLED ALMOND MILK","almond milk"
"TOASTED SESAME OIL, TOASTED","oil"
"Pure 12.3-ounce container silken tofu, puréed","tofu"
"AVOCADO OIL","oil"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"Pure (1/2-ounce) pieces fried tofu (aburaage), cut into 1/4"" slices (optional)","tofu"
"Pure to 14 ounces drained, sliced traditional water-packed firm or extra-firm tofu or tempeh","tempeh"
"BROWN LENTILS","lentils"
"Pure (10.5 ounce) package crumbled firm silken tofu","tofu"
"Pure cup silken tofu, divided","tofu"
"Pure (16 ounce) package firm tofu, drained and cut into strips","tofu"
"Pure cup almond milk, or other non-dairy milk","almond milk"
"Pure tablespoons 1x1/2x1/8"" slices pressed tofu (bean curd)","tofu"
"Pure cup extra-firm tofu, cut into matchsticks","tofu"
"Pure cup unsweetened coconut milk beverage (such as so delicious®)","coconut milk"
"Pure cup almond flour for dredging","almond flour"
"Pure tablespoon almond milk, or as needed (optional)","almond milk"
"Pure (14 ounce) package firm tofu, drained and cut into 3/4-inch cubes","tofu"
"Pure tablespoon coconut milk-based creamer","coconut milk"
"Pure (16 ounce) packages firm tofu","tofu"
"Pure box or 1/2 carton tofu, preferably soft","tofu"
"Pure ounces extra-firm or firm tofu, cut into 1/2-inch pieces","tofu"
"COARSE KOSHER SALT","salt"
"Pure (14 ounce) packages extra-firm tofu, drained","tofu"
"Pure cup vanilla coconut milk beverage","coconut milk"
"Pure 12-ounce package organic firm tofu, drained","tofu"
"MARINARA SAUCE","pizza sauce"
"WATER","water"
"AVOCADO OIL","oil"
"Pure 15-ounce can unsweetened coconut milk","coconut milk"
"Pure (12 ounce) package firm silken tofu","tofu"
"Pure cups homemade almond milk","almond milk"
"Pure (13.5 ounce) can lite coconut milk","coconut milk"
"Pure info: thai red curry paste and unsweetened coconut milk can be found at many supermarkets and at southeast asian and indian markets.","coconut milk"
"Organic Tofu Cutlet 6.5oz (02105) (03305)","tofu"
"TERIYAKI TOFU, TERIYAKI","tofu"
"GARLIC & HERB SEASONED BAKED TOFU CUBES","tofu"
"Pure 13.5-ounce cans unsweetened coconut milk","coconut milk"
"IODIZED SALT","salt"
"BLACK SALT","salt"
"SWEETENED APPLESAUCE, SWEETENED","applesauce"
"Pure 13 1/2- to 14-ounce can unsweetened coconut milk*","coconut milk"
"Pure unsweetened coconut milk is available at indian markets, southeast asian markets, latin american markets and many supermarkets.","coconut milk"
"RED LENTILS, RED","lentils"
"HOT TOASTED SESAME OIL, HOT TOASTED","oil"
"SILKEN EXTRA FIRM TOFU","tofu"
"Pure tablespoons honey-vanilla almond milk","almond milk"
"BADIA COCONUT MILK 13.5 FL OZ","coconut milk"
"ALMOND MILK & COCONUT NON-DAIRY WHIPPED TOPPING, ALMOND MILK","almond milk"
"ALL-PURPOSE FLOUR","flour"
"GRANULATED SUGAR","sugar"
"COCONUT MILK, UNSWEETENED","coconut milk"
"Pure pound firm tofu, rinsed, patted dry, and sliced 1/2 inch thick","tofu"
"ACTIVE DRY YEAST","yeast"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"VEGETABLE OIL","oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"PURE OLIVE OIL","olive oil"
"GRANULATED WHITE SUGAR","sugar"
"Pure pound medium shrimp, cleaned and deveined, or one 8-ounce package tempeh","tempeh"
"LIGHTLIFE TEMPEH CUBES TERIYAKI, 6 OZ","tempeh"
"SOUTHWEST TEMPEH CUBES","tempeh"
"ACTIVE DRY YEAST","yeast"
"WHIPPED UNSALTED BUTTER","butter"
"UNSALTED BUTTER","butter"
"WHOLE MILK","milk"
"GRANULATED SUGAR","sugar"
"CARAMEL ALMOND MILK CREAMER, CARAMEL","almond milk"
"LENTILS","lentils"
"WHOLE WHEAT FLOUR","flour"
"Pure 1/2 cups well-stirred unsweetened coconut milk (not low-fat; from a 13 1/2- to 14-oz can)","coconut milk"
"Pure pound tofu pillows (chinese-style pressed firm tofu)","tofu"
"ORIGINAL SWEETENED ALMOND MILK, ORIGINAL SWEETENED","almond milk"
"Pure (14 ounce) container extra-firm tofu, drained and cubed","tofu"
"GLUTEN FREE ORGANIC COCONUT FLOUR","coconut flour"
"MARINARA SAUCE","pizza sauce"
"WHITE PEACH COCONUT MILK DRINK, WHITE PEACH","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure cups well-stirred canned unsweetened coconut milk*","coconut milk"
